Archer,Commenced,RES
Skye,13/04/2008,Target hit 45 times from 55 shots.
Madison,25/09/2019,Target hit 29 times from 55 shots.
Chelsea,20/12/2006,Target hit 39 times from 52 shots.
William,15/02/2004,Target hit 49 times from 60 shots.
Lennox,15/07/2021,Target hit 25 times from 60 shots.
Brendan,9/05/2014,Target hit 39 times from 60 shots.
Jackson,29/04/2005,Target hit 41 times from 52 shots.
Asher,25/10/1996,Target hit 51 times from 54 shots.
Nicole,4/01/2007,Target hit 56 times from 69 shots.
Dylan,10/04/2014,Target hit 38 times from 59 shots.
Martin,14/01/2022,Target hit 25 times from 64 shots.
Tiana,8/10/2017,Target hit 31 times from 56 shots.
Jye,4/02/2016,Target hit 39 times from 66 shots.
Kai,25/03/2007,Target hit 53 times from 67 shots.
Bella,16/03/2008,Target hit 52 times from 69 shots.
Hunter,25/07/2001,Target hit 51 times from 63 shots.
Deborah,11/10/2016,Target hit 40 times from 67 shots.
Cooper,23/07/1997,Target hit 54 times from 58 shots.
Matilda,31/08/2011,Target hit 47 times from 65 shots.
Tegan,22/09/2010,Target hit 50 times from 67 shots.
Diana,1/01/2021,Target hit 22 times from 51 shots.
Rebekah,20/10/2013,Target hit 44 times from 69 shots.
Abigail,13/08/2022,Target hit 22 times from 62 shots.
Maeve,15/06/2002,Target hit 51 times from 59 shots.
Lincoln,3/12/2016,Target hit 41 times from 68 shots.
Christina,14/02/1999,Target hit 57 times from 64 shots.
Harriet,14/08/2018,Target hit 31 times from 59 shots.
Geoffrey,1/07/1996,Target hit 45 times from 50 shots.
Theodore,11/03/2015,Target hit 41 times from 63 shots.
Angelina,8/07/2004,Target hit 50 times from 57 shots.
Brent,4/10/2001,Target hit 53 times from 59 shots.
Dale,3/07/2009,Target hit 49 times from 67 shots.
Michael,1/07/2005,Target hit 49 times from 66 shots.
Aria,29/07/2012,Target hit 37 times from 55 shots.
Rebecca,10/10/1998,Target hit 49 times from 55 shots.
Talia,7/07/1999,Target hit 64 times from 70 shots.
Hayden,2/02/2003,Target hit 43 times from 53 shots.
Clara,4/01/2002,Target hit 46 times from 56 shots.
Heidi,17/02/2014,Target hit 45 times from 68 shots.
Mateo,4/05/1998,Target hit 63 times from 69 shots.
Finn,28/08/2019,Target hit 32 times from 60 shots.
Alana,12/07/2000,Target hit 57 times from 67 shots.
Kristen,5/12/2007,Target hit 51 times from 67 shots.
Max,8/04/1998,Target hit 60 times from 69 shots.
Thomas,21/04/2022,Target hit 25 times from 57 shots.
Clint,1/03/2013,Target hit 46 times from 68 shots.
Elsie,27/03/2003,Target hit 41 times from 50 shots.
Charles,4/12/2018,Target hit 34 times from 62 shots.
